"Graea Hypue FM-U d3-53",-934.03125,-596.4375,13373.34375
"Graea Hypue YP-W d2-297",-842.8125,-470.875,13317.6875
"Graea Hypue DW-U d3-103",-760.75,-502.96875,13341.78125
"Graea Hypue HM-U d3-42",-782.90625,-641.78125,13384.34375
"Graea Hypue YP-W d2-92",-794.53125,-483.53125,13313
"Graea Hypue EX-Q c6-22",-932.78125,-587.09375,13319.84375
"Graea Hypue XN-Y b18-2",-843.71875,-473.5,13419.59375
"Graea Hypue YP-W d2-160",-827.96875,-474.71875,13301.625
"Graea Hypue DR-U d3-134",-938.34375,-523.4375,13383.9375
"Graea Hypue CG-W d2-64",-800.375,-619.71875,13281.78125
"Graea Hypue YP-W d2-211",-849.1875,-461.40625,13322.78125
"Graea Hypue HM-U d3-88",-748.46875,-617,13365.3125
"Graea Hypue SK-G b14-4",-739.375,-583.90625,13331.59375
"Graea Hypue KS-S d4-122",-857,-604,13460.125
"Graea Hypue CG-W d2-98",-865,-604.6875,13265.21875
"Graea Hypue KS-S d4-116",-815.4375,-592.96875,13462.875
"Graea Hypue DW-U d3-54",-759.0625,-489.125,13378.8125
"Graea Hypue IX-S d4-83",-804.65625,-514.1875,13455.78125
"Graea Hypue KS-S d4-181",-845.90625,-626.25,13452.96875
"Graea Hypue BM-R c6-12",-790.3125,-467.84375,13325.28125
"Graea Hypue IS-Q c6-32",-843.875,-653.65625,13297.78125
"Graea Hypue IS-Q c6-37",-840.09375,-659.90625,13303.0625
"Graea Hypue CG-W d2-48",-793.9375,-602.40625,13264.375
"Graea Hypue HM-U d3-146",-726.84375,-594.03125,13354.0625
"Graea Hypue CG-W d2-100",-855,-630.59375,13266
"Graea Hypue PO-N c8-24",-721.96875,-569.1875,13387.03125
"Graea Hypue YK-W d2-4",-950.46875,-511.3125,13334.9375
"Graea Hypue IH-U d3-160",-792.25,-677.25,13380.8125
"Graea Hypue LS-S d4-156",-758.25,-640.71875,13420.1875
"Graea Hypue LS-S d4-42",-775.28125,-650.125,13429.21875
"Graea Hypue CG-W d2-180",-856.6875,-661.28125,13277.34375
"Graea Hypue UB-V b19-6",-822.34375,-660.625,13447.1875
"Graea Hypue YZ-X d1-11",-794.3125,-594.28125,13242.25
"Graea Hypue CG-W d2-49",-831.9375,-645.5625,13258.28125
"Graea Hypue UF-K c10-66",-763.75,-538.125,13469.3125
"Graea Hypue CR-U d3-78",-960.1875,-509.9375,13395.0625
"Graea Hypue KY-N c8-3",-751.90625,-470.6875,13408.90625
"Graea Hypue SZ-M c8-22",-855.75,-691.125,13396.25
"Graea Hypue MN-S d4-59",-838.15625,-666.3125,13447.40625
"Graea Hypue KS-S d4-148",-809.84375,-620.53125,13480.375
"Graea Hypue LS-S d4-6",-739.53125,-609.53125,13439.3125
"Graea Hypue LS-S d4-49",-738.375,-592.875,13447.59375
"Graea Hypue JX-S d4-262",-732.65625,-556.03125,13448.8125
"Graea Hypue NY-Q d5-245",-869.53125,-592.78125,13495.59375
"Graea Hypue GM-S c5-15",-776.75,-629.46875,13256.40625
"Graea Hypue XP-W d2-100",-886.375,-476.1875,13259.0625
"Graea Hypue FC-T d4-198",-871.96875,-455.53125,13451.53125
"Graea Hypue LS-S d4-59",-757.46875,-628.875,13457.78125
"Graea Hypue LS-S d4-23",-729,-632.71875,13425.40625
"Graea Hypue GR-U d3-228",-699.375,-545.46875,13402.46875
"Graea Hypue LS-S d4-119",-750.65625,-658.03125,13430.65625
"Graea Hypue LS-Q c6-11",-738.6875,-652.53125,13298.1875
"Graea Hypue XE-Y d1-53",-763.03125,-525.8125,13237.03125
"Graea Hypue AA-A h38",-759.125,-673.46875,13423.09375
"Graea Hypue HM-U d3-14",-715.09375,-643.15625,13385.375
"Graea Hypue EW-U d3-250",-700.5,-504.71875,13377.78125
"Graea Hypue KX-S d4-189",-702.46875,-567.40625,13424.6875
"Graea Hypue IH-U d3-13",-840.71875,-712.8125,13342.34375
"Graea Hypue LS-S d4-24",-728.5625,-647.34375,13420.15625
"Graea Hypue GR-U d3-115",-694.75,-542.75,13408.3125
"Graea Hypue KS-S d4-64",-864.25,-652.1875,13485.125
"Graea Hypue QO-N c8-10",-690.125,-571.78125,13400.34375
"Graea Hypue GR-U d3-201",-686.9375,-538.6875,13342.625
"Graea Hypue DW-U d3-303",-719.625,-468.84375,13400.84375
"Graea Hypue KS-S d4-76",-847.90625,-651.53125,13491.59375
"Graea Hypue KS-S d4-155",-810.59375,-651.5,13488.84375
"Graea Hypue BB-T c5-0",-719.15625,-540.8125,13260.71875
"Graea Hypue YZ-X d1-78",-811.75,-590.625,13207.5625
"Graea Hypue DX-H c11-14",-797.65625,-630.34375,13503.84375
"Graea Hypue NY-Q d5-1",-900.9375,-597.1875,13511
"Graea Hypue DW-U d3-296",-730.40625,-437.90625,13363.46875
"Graea Hypue VJ-Y d1-10",-755.875,-501.53125,13232.125
"Graea Hypue GR-U d3-147",-674.1875,-551.625,13359.0625
"Graea Hypue GR-U d3-235",-675.65625,-574.1875,13385.0625
"Graea Hypue ID-D b15-5",-812.15625,-725.53125,13347.5625
"Graea Hypue KX-S d4-200",-700.90625,-530.09375,13451.3125
"Graea Hypue KX-S d4-28",-685,-548.6875,13428.71875
"Graea Hypue EW-U d3-174",-682.6875,-498.625,13335.78125
"Graea Hypue KX-S d4-54",-704.375,-541.59375,13464.75
"Graea Hypue EW-U d3-148",-697.6875,-474,13404.15625
"Graea Hypue KX-S d4-110",-680.15625,-583.75,13423.03125
"Graea Hypue EW-U d3-190",-698.1875,-462.5,13369.3125
"Graea Hypue YZ-X d1-73",-828,-611.4375,13195.90625
"Graea Hypue GR-U d3-96",-668.34375,-567.1875,13397.15625
"Graea Hypue KX-S d4-95",-681.09375,-542.90625,13434.5625
"Graea Hypue VE-Y d1-14",-943.71875,-536.3125,13220.15625
"Graea Hypue DW-U d3-300",-724.90625,-426.875,13373.09375
"Graea Hypue VJ-Y d1-145",-761.5,-475.96875,13224.6875
"Graea Hypue EM-U d3-36",-1013.78125,-609.4375,13384.21875
"Graea Hypue SZ-L c9-24",-685.28125,-531.53125,13451.3125
"Graea Hypue EW-U d3-196",-699.125,-445.625,13382.3125
"Graea Hypue EM-U d3-15",-1007.0625,-636.8125,13384.5
"Graea Hypue YZ-X d1-92",-846.25,-659.09375,13205.875
"Graea Hypue LS-S d4-210",-723.53125,-636.6875,13483.09375
"Graea Hypue EM-U d3-30",-1016.71875,-631.03125,13357.75
"Graea Hypue EW-U d3-145",-666.0625,-487.4375,13356.09375
"Graea Hypue EM-U d3-31",-1010.875,-646.28125,13363.75
"Graea Hypue OY-Q d5-10",-828.40625,-611.9375,13546.90625
"Graea Hypue EW-U d3-237",-691.53125,-442.34375,13387.5625
"Graea Hypue EM-U d3-48",-1007.71875,-656.71875,13374.5
"Graea Hypue EW-U d3-87",-667.625,-473.8125,13354.5
"Graea Hypue KX-S d4-24",-656.78125,-528.78125,13420.84375
"Graea Hypue KX-S d4-131",-660.375,-506.03125,13415.28125
"Graea Hypue EW-U d3-161",-664.96875,-474.875,13375.8125
"Graea Hypue NY-Q d5-255",-929.34375,-620.90625,13527.03125
"Graea Hypue EW-U d3-164",-658.90625,-486.53125,13375.71875
"Graea Hypue GR-U d3-69",-644.21875,-540.21875,13372.3125
"Graea Hypue EM-U d3-23",-1007.09375,-656.78125,13409.96875
"Graea Hypue KX-S d4-129",-663.65625,-544.78125,13449.75
"Graea Hypue RY-Z d83",-890.625,-568.59375,13168.6875
"Graea Hypue FI-G c12-58",-820.6875,-617.65625,13553.5625
"Graea Hypue GR-U d3-195",-641.1875,-534.46875,13345
"Graea Hypue YZ-X d1-47",-815.25,-651.5,13182
